sr_no,district,longitude,latitude,landuse_landcover,geomorphology,length_m,area_sqm,toposheet,object_id
36,Bilaspur,76.6696,31.4089,Sparsely vegetated,Lowly dissected hill,78.610828,341.029324,53A11,4126
37,Bilaspur,76.669,31.4082,Sparsely vegetated,Lowly dissected hill,60.031971,209.359584,53A11,4127
38,Bilaspur,76.6686,31.4073,Sparsely vegetated,Lowly dissected hill,96.766218,567.466685,53A11,4128
39,Bilaspur,76.6682,31.4095,Sparsely vegetated,Lowly dissected hill,62.756853,274.171156,53A11,4129
40,Bilaspur,76.6676,31.4144,Sparsely vegetated,Lowly dissected hill,55.019794,193.709653,53A11,4130
41,Bilaspur,76.5357,31.3039,,Lowly dissected hill,321.652679,5755.01254,53A11,4131
42,Bilaspur,76.582,31.3269,Moderate vegetation,Lowly dissected hill,195.756974,2276.58083,53A11,4132
43,Bilaspur,76.5498,31.3018,Moderate vegetation,Lowly dissected hill,162.568798,1694.812414,53A11,4133
44,Bilaspur,76.5483,31.3012,Moderate vegetation,Lowly dissected hill,64.146537,279.484249,53A11,4134
45,Bilaspur,76.5854,31.3172,Sparsely vegetated,Lowly dissected hill,112.739051,763.435641,53A11,4135
46,Bilaspur,76.5918,31.3178,Sparsely vegetated,Lowly dissected hill,229.098137,3285.323905,53A11,4136
47,Bilaspur,76.5928,31.3189,Sparsely vegetated,Lowly dissected hill,158.612661,1485.452758,53A11,4137
48,Bilaspur,76.6018,31.3074,Sparsely vegetated,Lowly dissected hill,143.087027,1275.176272,53A11,4138
49,Bilaspur,76.6092,31.2959,Sparsely vegetated,Lowly dissected hill,192.658246,2189.675644,53A11,4139
50,Bilaspur,76.6078,31.307,Sparsely vegetated,Lowly dissected hill,193.926251,2344.540871,53A11,4140
51,Bilaspur,76.5508,31.3014,Sparsely vegetated,Lowly dissected hill,246.440802,4408.582901,53A11,4141
52,Bilaspur,76.5616,31.2915,Sparsely vegetated,Lowly dissected hill,153.580246,1581.013398,53A11,4142
53,Bilaspur,76.6736,31.4094,Sparsely vegetated,Lowly dissected hill,137.160157,1168.439865,53A11,4157
54,Bilaspur,76.6761,31.4124,Sparsely vegetated,Lowly dissected hill,53.968959,200.107388,53A11,4158
55,Bilaspur,76.7276,31.4649,Thick vegetation,Moderately dissected hill,113.822018,775.055143,53A11,4159
56,Bilaspur,76.4036,31.4301,Moderate vegetation,Moderately dissected hill,365.032358,8927.1653,53A07,4160
57,Bilaspur,76.407,31.4303,Moderate vegetation,Moderately dissected hill,364.053907,8222.289258,53A07,4161
58,Bilaspur,76.4175,31.4145,Moderate vegetation,Moderately dissected hill,315.996595,6909.759011,53A07,4162
59,Bilaspur,76.3914,31.4269,Moderate vegetation,Moderately dissected hill,139.022991,1217.512312,53A07,4163
60,Bilaspur,76.3912,31.4278,Moderate vegetation,Moderately dissected hill,187.662879,2132.813889,53A07,4164
61,Bilaspur,76.3914,31.4324,Moderate vegetation,Moderately dissected hill,279.81979,4836.167194,53A07,4165
62,Bilaspur,76.3963,31.4286,Moderate vegetation,Moderately dissected hill,296.832914,5766.204314,53A07,4166
63,Bilaspur,76.4081,31.4144,Moderate vegetation,Moderately dissected hill,151.881632,1508.196281,53A07,4167
64,Bilaspur,76.4099,31.4143,Moderate vegetation,Moderately dissected hill,176.484782,2016.147867,53A07,4168
65,Bilaspur,76.4129,31.4129,Moderate vegetation,Moderately dissected hill,292.349625,6220.63707,53A07,4169
66,Bilaspur,76.4113,31.4212,Moderate vegetation,Moderately dissected hill,109.02414,752.097913,53A07,4170
67,Bilaspur,76.4108,31.4212,Moderate vegetation,Moderately dissected hill,58.362413,214.292294,53A07,4171
68,Bilaspur,76.4108,31.4233,Moderate vegetation,Moderately dissected hill,92.298169,520.521385,53A07,4172
69,Bilaspur,76.4102,31.4235,Moderate vegetation,Moderately dissected hill,103.312556,704.771596,53A07,4173
70,Bilaspur,76.4106,31.4255,Moderate vegetation,Moderately dissected hill,177.671011,2084.880289,53A07,4174
71,Bilaspur,76.4106,31.4238,Moderate vegetation,Moderately dissected hill,38.102224,94.058258,53A07,4175
72,Bilaspur,76.4117,31.4246,Moderate vegetation,Moderately dissected hill,93.76144,564.062943,53A07,4176
73,Bilaspur,76.4123,31.4247,Moderate vegetation,Moderately dissected hill,87.153708,510.039681,53A07,4177
74,Bilaspur,76.7134,31.4622,Thick vegetation,Lowly dissected hill,129.117835,1044.471105,53A11,4178
75,Bilaspur,76.4019,31.4129,Moderate vegetation,Moderately dissected hill,376.024224,8819.14591,53A07,4179
76,Bilaspur,76.4046,31.4067,Moderate vegetation,Moderately dissected hill,255.73383,4201.978473,53A07,4180
77,Bilaspur,76.7494,31.4496,Thick vegetation,Moderately dissected hill,111.420491,824.52135,53A11,4182
78,Bilaspur,76.7491,31.4488,Thick vegetation,Moderately dissected hill,142.998982,1214.187886,53A11,4183
79,Bilaspur,76.7479,31.4423,Thick vegetation,Moderately dissected hill,103.890468,653.369321,53A11,4184
80,Bilaspur,76.692,31.4607,Sparsely vegetated,Lowly dissected hill,158.360386,1587.2746,53A11,4185
81,Bilaspur,76.6783,31.4789,Sparsely vegetated,Lowly dissected hill,75.606608,300.741879,53A11,4186
82,Bilaspur,76.64,31.4752,Sparsely vegetated,Lowly dissected hill,57.391252,203.361077,53A11,4187
83,Bilaspur,76.6381,31.4773,Sparsely vegetated,Lowly dissected hill,115.386203,859.419296,53A11,4188
84,Bilaspur,76.6378,31.4778,Sparsely vegetated,Lowly dissected hill,110.901811,822.395049,53A11,4189
85,Bilaspur,76.6237,31.4881,Sparsely vegetated,Lowly dissected hill,93.941716,587.474469,53A11,4190
86,Bilaspur,76.623,31.4905,Sparsely vegetated,Lowly dissected hill,71.234715,345.309446,53A11,4191
87,Bilaspur,76.7368,31.3231,Thick vegetation,Moderately dissected hill,353.156124,2135.406531,53A11,4192
88,Bilaspur,76.7328,31.3089,Thick vegetation,Moderately dissected hill,103.797336,656.425962,53A11,4193
89,Bilaspur,76.8608,31.3431,Thick vegetation,Moderately dissected hill,86.966386,419.955601,53A11,4194
90,Bilaspur,76.7473,31.4831,Moderate vegetation,Moderately dissected hill,126.940833,951.829333,53A11,4195
91,Bilaspur,76.749,31.4825,Moderate vegetation,Moderately dissected hill,124.802277,1025.778947,53A11,4196
92,Bilaspur,76.7501,31.4817,Moderate vegetation,Moderately dissected hill,124.283089,988.703878,53A11,4197
93,Bilaspur,76.747,31.4339,Moderate vegetation,Lowly dissected hill,91.723064,369.181161,53A11,4198
94,Bilaspur,76.7212,31.4362,Moderate vegetation,Lowly dissected hill,105.819403,691.729708,53A11,4199
95,Bilaspur,76.7211,31.2535,Sparsely vegetated,Denudational hill slope,261.462939,4362.544037,53A11,4200
96,Bilaspur,76.7333,31.2855,Sparsely vegetated,Denudational hill slope,162.326482,1726.494304,53A11,4201
97,Bilaspur,76.7269,31.2645,Sparsely vegetated,Denudational hill slope,314.443556,5039.533925,53A11,4202
98,Bilaspur,76.7324,31.2954,Sparsely vegetated,Denudational hill slope,159.840174,1652.969014,53A11,4203
99,Bilaspur,76.7292,31.2938,Sparsely vegetated,Denudational hill slope,220.306135,2900.755948,53A11,4204
100,Bilaspur,76.7461,31.2775,Sparsely vegetated,Denudational hill slope,49.331725,157.909931,53A11,4205
101,Bilaspur,76.7363,31.2571,Sparsely vegetated,Denudational hill slope,95.593265,593.192227,53A11,4206
102,Bilaspur,76.7291,31.2634,Sparsely vegetated,Denudational hill slope,149.62447,1365.044251,53A11,4207
103,Bilaspur,76.7244,31.2607,Sparsely vegetated,Denudational hill slope,95.131001,562.620225,53A11,4208
104,Bilaspur,76.7207,31.2581,Sparsely vegetated,Denudational hill slope,114.1118,836.066931,53A11,4209
105,Bilaspur,76.742,31.2825,Sparsely vegetated,Denudational hill slope,110.735314,808.810667,53A11,4210
106,Bilaspur,76.7385,31.2827,Sparsely vegetated,Denudational hill slope,140.718045,1342.64109,53A11,4211
107,Bilaspur,76.7378,31.2823,Sparsely vegetated,Denudational hill slope,97.593485,599.432011,53A11,4212
108,Bilaspur,76.7394,31.2811,Sparsely vegetated,Denudational hill slope,138.127255,1243.806568,53A11,4213
109,Bilaspur,76.7405,31.2804,Sparsely vegetated,Denudational hill slope,105.87338,736.806888,53A11,4214
110,Bilaspur,76.7411,31.2801,Sparsely vegetated,Denudational hill slope,102.297424,708.577175,53A11,4215
111,Bilaspur,76.7416,31.2799,Sparsely vegetated,Denudational hill slope,99.007414,658.429967,53A11,4216
112,Bilaspur,76.7434,31.2779,Sparsely vegetated,Denudational hill slope,119.501968,976.214553,53A11,4217
113,Bilaspur,76.744,31.2769,Sparsely vegetated,Denudational hill slope,114.056048,863.035655,53A11,4218
114,Bilaspur,76.7449,31.2758,Sparsely vegetated,Denudational hill slope,83.730056,449.252419,53A11,4219
115,Bilaspur,76.7485,31.2802,Sparsely vegetated,Denudational hill slope,103.258209,691.847223,53A11,4220
116,Bilaspur,76.7289,31.3681,Thick vegetation,Lowly dissected hill,160.569845,1591.34199,53A11,4221
117,Bilaspur,76.748,31.4222,Moderate vegetation,Moderately dissected hill,115.753865,870.330966,53A11,4222
118,Bilaspur,76.7239,31.3553,Moderate vegetation,Lowly dissected hill,183.556706,2200.004377,53A11,4223
119,Bilaspur,76.427,31.4053,Moderate vegetation,Moderately dissected hill,303.737208,6191.25222,53A07,4224
120,Bilaspur,76.4222,31.4074,Sparsely vegetated,Moderately dissected hill,183.29754,2159.089185,53A07,4225
121,Bilaspur,76.4237,31.4067,Sparsely vegetated,Moderately dissected hill,198.945462,2582.695437,53A07,4226
122,Bilaspur,76.6961,31.4066,Moderate vegetation,Lowly dissected hill,158.446121,1633.983867,53A11,4227
123,Bilaspur,76.726,31.4729,Thick vegetation,Lowly dissected hill,160.71306,1618.21158,53A11,4228
124,Bilaspur,76.1821,31.4357,Moderate vegetation,Lowly dissected hill,51.897517,171.108598,53A06,4229
125,Bilaspur,76.1595,31.4474,Moderate vegetation,Lowly dissected hill,73.626964,280.859129,53A06,4230
126,Bilaspur,76.1591,31.4472,Moderate vegetation,Lowly dissected hill,31.646349,58.775219,53A06,4231
127,Bilaspur,76.1592,31.4472,Moderate vegetation,Lowly dissected hill,38.608154,97.645411,53A06,4232
128,Bilaspur,76.1503,31.4717,Moderate vegetation,Lowly dissected hill,85.748846,432.412617,53A06,4233
129,Bilaspur,76.3018,31.5346,Moderate vegetation,Lowly dissected hill,177.514189,2132.221726,53A06,4234
130,Bilaspur,76.3019,31.5367,Moderate vegetation,Lowly dissected hill,271.610137,4882.263733,53A06,4235
131,Bilaspur,76.3063,31.5319,Moderate vegetation,Lowly dissected hill,255.066135,4214.317979,53A06,4236
132,Bilaspur,76.274,31.5424,Moderate vegetation,Lowly dissected hill,177.091933,1929.823396,53A06,4237
133,Bilaspur,76.3054,31.5331,Moderate vegetation,Lowly dissected hill,140.791944,1050.693614,53A06,4238
134,Bilaspur,76.7304,31.3702,Thick vegetation,Lowly dissected hill,110.853756,738.705737,53A11,4239
135,Bilaspur,76.7262,31.4675,Thick vegetation,Moderately dissected hill,114.932319,773.792497,53A11,4240
136,Bilaspur,76.7265,31.4772,Thick vegetation,Lowly dissected hill,135.28453,1157.404503,53A11,4241
137,Bilaspur,76.7458,31.4855,Moderate vegetation,Lowly dissected hill,143.674262,1271.87328,53A11,4242
138,Bilaspur,76.6917,31.262,Sparsely vegetated,Lowly dissected hill,170.052905,1923.828906,53A11,4243
139,Bilaspur,76.6829,31.2519,Sparsely vegetated,Lowly dissected hill,464.354193,13179.05449,53A11,4244
140,Bilaspur,76.6977,31.2743,Sparsely vegetated,Lowly dissected hill,534.689632,19634.58201,53A11,4245
141,Bilaspur,76.7268,31.2939,Sparsely vegetated,Lowly dissected hill,165.93349,1519.087079,53A11,4246
142,Bilaspur,76.3505,31.5976,Moderate vegetation,Lowly dissected hill,301.321071,4827.970164,53A06,4247
143,Bilaspur,76.351,31.5965,Moderate vegetation,Lowly dissected hill,248.479333,3413.470816,53A06,4248
144,Bilaspur,76.3516,31.5954,Moderate vegetation,Lowly dissected hill,189.310387,2228.710931,53A06,4249
145,Bilaspur,76.2736,31.575,Moderate vegetation,Lowly dissected hill,221.350399,2747.783899,53A06,4250
146,Bilaspur,76.2758,31.5729,Moderate vegetation,Lowly dissected hill,202.112872,2654.341429,53A06,4251
147,Bilaspur,76.2802,31.5476,Moderate vegetation,Lowly dissected hill,175.524989,1918.230462,53A06,4252
148,Bilaspur,76.329,31.5919,Moderate vegetation,Lowly dissected hill,317.830011,6645.225112,53A06,4253
149,Bilaspur,76.3363,31.5914,Moderate vegetation,Lowly dissected hill,220.311854,2994.182233,53A06,4254
150,Bilaspur,76.2687,31.5763,Moderate vegetation,Lowly dissected hill,382.78259,9243.469537,53A06,4255
151,Bilaspur,76.2892,31.5561,Moderate vegetation,Lowly dissected hill,362.32408,8545.76085,53A06,4256
152,Bilaspur,76.2917,31.5557,Moderate vegetation,Lowly dissected hill,387.473622,10066.02153,53A06,4257
153,Bilaspur,76.2946,31.5565,Moderate vegetation,Lowly dissected hill,356.692293,8315.951932,53A06,4258
154,Bilaspur,76.2878,31.5541,Moderate vegetation,Lowly dissected hill,271.234053,4656.932974,53A06,4259
155,Bilaspur,76.2912,31.5443,Moderate vegetation,Lowly dissected hill,285.112037,5430.742905,53A06,4260
156,Bilaspur,76.2934,31.5443,Moderate vegetation,Lowly dissected hill,227.162394,3340.71003,53A06,4261
157,Bilaspur,76.294,31.5449,Moderate vegetation,Lowly dissected hill,200.725586,2478.779697,53A06,4262
158,Bilaspur,76.3037,31.5373,Moderate vegetation,Lowly dissected hill,179.080324,2113.03353,53A06,4263
159,Bilaspur,76.3031,31.5397,Moderate vegetation,Lowly dissected hill,206.872603,2594.538853,53A06,4264
160,Bilaspur,76.2746,31.5431,Moderate vegetation,Lowly dissected hill,230.026076,3407.642909,53A06,4265
161,Bilaspur,76.352,31.5934,Moderate vegetation,Lowly dissected hill,97.56342,623.14408,53A06,4266
162,Bilaspur,76.3265,31.6175,Moderate vegetation,Lowly dissected hill,57.5037,215.71068,53A06,4267
163,Bilaspur,76.3304,31.6149,Moderate vegetation,Lowly dissected hill,106.927398,754.952615,53A06,4268
164,Bilaspur,76.3414,31.6191,Moderate vegetation,Lowly dissected hill,375.328783,9655.621564,53A06,4269
165,Bilaspur,76.3433,31.6181,Moderate vegetation,Lowly dissected hill,380.634149,9691.869649,53A06,4270
166,Bilaspur,76.344,31.617,Moderate vegetation,Lowly dissected hill,321.144698,6974.099627,53A06,4271
167,Bilaspur,76.3446,31.616,Moderate vegetation,Lowly dissected hill,414.384039,10139.94251,53A06,4272
168,Bilaspur,76.3439,31.6153,Moderate vegetation,Lowly dissected hill,244.248943,3946.429212,53A06,4273
169,Bilaspur,76.3256,31.6205,Moderate vegetation,Lowly dissected hill,78.671907,430.438589,53A06,4274
170,Bilaspur,76.2778,31.5654,Moderate vegetation,Lowly dissected hill,258.440591,4158.654753,53A06,4275
171,Bilaspur,76.3286,31.5474,Moderate vegetation,Lowly dissected hill,71.967044,342.192554,53A06,4276
172,Bilaspur,76.3046,31.5531,Moderate vegetation,Lowly dissected hill,81.345391,437.126887,53A06,4277
173,Bilaspur,76.3232,31.5706,Moderate vegetation,Lowly dissected hill,86.474458,488.126328,53A06,4278
174,Bilaspur,76.4037,31.4049,Moderate vegetation,Moderately dissected hill,269.218243,4624.987436,53A07,4279
175,Bilaspur,76.5541,31.3631,Moderate vegetation,Moderately dissected hill,216.30013,2898.100653,53A11,4280
176,Bilaspur,76.5662,31.3516,Moderate vegetation,Moderately dissected hill,156.289293,1274.905716,53A11,4281
177,Bilaspur,76.5649,31.3512,Moderate vegetation,Moderately dissected hill,190.634128,2133.653659,53A11,4282
178,Bilaspur,76.5671,31.3485,Moderate vegetation,Moderately dissected hill,153.92048,1448.372494,53A11,4283
179,Bilaspur,76.571,31.3449,Moderate vegetation,Moderately dissected hill,183.416019,2085.103684,53A11,4284
180,Bilaspur,76.5786,31.3889,Moderate vegetation,Moderately dissected hill,196.768814,2370.836673,53A11,4285
181,Bilaspur,76.5632,31.3604,Moderate vegetation,Moderately dissected hill,188.914139,2177.320005,53A11,4286
182,Bilaspur,76.6035,31.3735,Moderate vegetation,Moderately dissected hill,145.069196,1446.959932,53A11,4287
183,Bilaspur,76.5715,31.3817,Moderate vegetation,Moderately dissected hill,146.677219,1392.693215,53A11,4288
184,Bilaspur,76.6043,31.3744,Moderate vegetation,Moderately dissected hill,89.249793,529.741696,53A11,4289
185,Bilaspur,76.548,31.3958,Moderate vegetation,Moderately dissected hill,69.593869,312.930987,53A11,4290
186,Bilaspur,76.5588,31.3615,Moderate vegetation,Moderately dissected hill,87.691078,506.06185,53A11,4291
187,Bilaspur,76.5686,31.3608,Moderate vegetation,Moderately dissected hill,82.193559,431.923662,53A11,4292
188,Bilaspur,76.7091,31.4663,Thick vegetation,Lowly dissected hill,140.437887,1318.298299,53A11,4293
189,Bilaspur,76.7085,31.4658,Thick vegetation,Lowly dissected hill,112.991235,776.378962,53A11,4294
190,Bilaspur,76.4045,31.4053,Moderate vegetation,Escarpment,268.753614,4979.531592,53A07,4295
191,Bilaspur,76.4047,31.4059,Moderate vegetation,Escarpment,272.77119,4332.103843,53A07,4296
192,Bilaspur,76.7066,31.4744,Moderate vegetation,Lowly dissected hill,91.943997,554.471656,53A11,4297
193,Bilaspur,76.7079,31.4708,Moderate vegetation,Lowly dissected hill,102.262102,692.973034,53A11,4298
194,Bilaspur,76.7495,31.4925,Moderate vegetation,Lowly dissected hill,96.165649,604.600324,53A11,4301
195,Bilaspur,76.7481,31.4925,Moderate vegetation,Lowly dissected hill,113.781873,838.592503,53A11,4302
196,Bilaspur,76.746,31.4914,Moderate vegetation,Lowly dissected hill,111.824385,773.562676,53A11,4303
197,Bilaspur,76.7447,31.4905,Moderate vegetation,Lowly dissected hill,75.856483,390.578275,53A11,4304
198,Bilaspur,76.7452,31.4902,Moderate vegetation,Lowly dissected hill,85.997317,433.220725,53A11,4305
199,Bilaspur,76.7449,31.4894,Moderate vegetation,Lowly dissected hill,99.91166,655.394051,53A11,4306
200,Bilaspur,76.7454,31.4861,Moderate vegetation,Lowly dissected hill,92.566773,560.239117,53A11,4307
201,Bilaspur,76.4198,31.4097,Moderate vegetation,Lowly dissected hill,237.17039,3668.029298,53A07,4308
202,Bilaspur,76.3954,31.4661,Moderate vegetation,Lowly dissected hill,52.819846,172.191941,53A07,4309
203,Bilaspur,76.3988,31.4585,Moderate vegetation,Lowly dissected hill,56.140352,203.634106,53A07,4310
204,Bilaspur,76.4431,31.4977,Moderate vegetation,Lowly dissected hill,53.16452,187.277828,53A07,4311
205,Bilaspur,76.445,31.4929,Moderate vegetation,Lowly dissected hill,51.228542,167.243808,53A07,4312
206,Bilaspur,76.6437,31.2626,Thick vegetation,Lowly dissected hill,218.532232,2825.588244,53A11,4319
207,Bilaspur,76.6432,31.2641,Thick vegetation,Lowly dissected hill,134.573988,1227.220781,53A11,4320
208,Bilaspur,76.4197,31.4127,Moderate vegetation,Lowly dissected hill,184.079339,2322.943987,53A07,4323
209,Bilaspur,76.7258,31.4737,Settlement,Lowly dissected hill,185.376028,369.493658,53A11,4324
210,Bilaspur,76.7298,31.4877,Moderate vegetation,Lowly dissected hill,148.483208,1409.171507,53A11,4325
211,Bilaspur,76.7285,31.4947,Moderate vegetation,Lowly dissected hill,183.85468,2200.128693,53A11,4326
212,Bilaspur,76.6067,31.3727,Thick vegetation,Highly dissected hill,243.299396,3783.452291,53A11,4327
213,Bilaspur,76.6075,31.3744,Thick vegetation,Highly dissected hill,254.902236,3927.212981,53A11,4328
214,Bilaspur,76.4278,31.4125,Moderate vegetation,Lowly dissected hill,152.682663,1593.67752,53A07,4329
215,Bilaspur,76.5632,31.3504,Moderate vegetation,Lowly dissected hill,148.738062,1368.290541,53A11,4330
216,Bilaspur,76.566,31.3478,Moderate vegetation,Lowly dissected hill,168.059807,1687.813515,53A11,4331
217,Bilaspur,76.5686,31.3446,Moderate vegetation,Lowly dissected hill,218.443,2904.56908,53A11,4332
218,Bilaspur,76.5765,31.3381,Moderate vegetation,Lowly dissected hill,143.466676,1156.760712,53A11,4333
219,Bilaspur,76.577,31.3385,Moderate vegetation,Lowly dissected hill,122.872,920.617825,53A11,4334
220,Bilaspur,76.5755,31.3348,Moderate vegetation,Lowly dissected hill,134.62108,1219.176965,53A11,4335
221,Bilaspur,76.5224,31.3328,Moderate vegetation,Lowly dissected hill,183.816158,2283.908012,53A11,4336
222,Bilaspur,76.5271,31.3303,Moderate vegetation,Lowly dissected hill,169.153876,1874.586601,53A11,4337
223,Bilaspur,76.5266,31.3295,Moderate vegetation,Lowly dissected hill,176.247453,2082.034376,53A11,4338
224,Bilaspur,76.5277,31.3282,Moderate vegetation,Lowly dissected hill,216.425383,2242.36231,53A11,4339
225,Bilaspur,76.5325,31.326,Moderate vegetation,Lowly dissected hill,217.037046,3179.625819,53A11,4340
226,Bilaspur,76.5364,31.3216,Moderate vegetation,Lowly dissected hill,152.10851,1525.35859,53A11,4341
227,Bilaspur,76.5356,31.3184,Moderate vegetation,Lowly dissected hill,212.742544,2582.799356,53A11,4342
228,Bilaspur,76.5359,31.3159,Moderate vegetation,Lowly dissected hill,223.25469,3321.481545,53A11,4343
229,Bilaspur,76.4342,31.4163,Moderate vegetation,Lowly dissected hill,239.95791,3525.958525,53A07,4344
230,Bilaspur,76.4348,31.417,Moderate vegetation,Lowly dissected hill,193.636736,2609.374228,53A07,4345
231,Bilaspur,76.4369,31.4215,Moderate vegetation,Lowly dissected hill,279.46285,5166.431199,53A07,4346
232,Bilaspur,76.4372,31.4234,Moderate vegetation,Lowly dissected hill,175.555605,1931.815024,53A07,4347
233,Bilaspur,76.4378,31.4239,Moderate vegetation,Lowly dissected hill,192.321266,2242.370385,53A07,4348
234,Bilaspur,76.4378,31.4254,Moderate vegetation,Lowly dissected hill,154.815661,1576.163378,53A07,4349
235,Bilaspur,76.5776,31.3387,Sparsely vegetated,Moderately dissected hill,127.967093,935.068115,53A11,4350
236,Bilaspur,76.5783,31.3391,Sparsely vegetated,Moderately dissected hill,118.340279,871.61534,53A11,4351
237,Bilaspur,76.6518,31.3345,Sparsely vegetated,Moderately dissected hill,542.433347,16725.28941,53A11,4352
238,Bilaspur,76.6076,31.3699,Sparsely vegetated,Moderately dissected hill,225.02987,3055.335246,53A11,4353
239,Bilaspur,76.6075,31.3706,Sparsely vegetated,Moderately dissected hill,141.248975,1274.514225,53A11,4354
240,Bilaspur,76.5836,31.3517,Sparsely vegetated,Moderately dissected hill,78.961462,419.395638,53A11,4355
241,Bilaspur,76.4286,31.4038,Moderate vegetation,Moderately dissected hill,214.144203,2964.141066,53A07,4356
242,Bilaspur,76.4313,31.4045,Moderate vegetation,Moderately dissected hill,219.813527,3205.116778,53A07,4357
243,Bilaspur,76.43,31.4051,Moderate vegetation,Moderately dissected hill,175.968363,2091.460962,53A07,4358
244,Bilaspur,76.4352,31.406,Moderate vegetation,Moderately dissected hill,114.027672,859.597204,53A07,4359
245,Bilaspur,76.4361,31.4092,Moderate vegetation,Moderately dissected hill,241.106325,3602.220865,53A07,4360
246,Bilaspur,76.5472,31.3744,Thick vegetation,Lowly dissected hill,130.935246,985.266658,53A11,4361
247,Bilaspur,76.5486,31.3678,Thick vegetation,Lowly dissected hill,150.373435,1391.40389,53A11,4362
248,Bilaspur,76.554,31.3613,Thick vegetation,Lowly dissected hill,270.005485,4614.459392,53A11,4363
249,Bilaspur,76.4812,31.3473,Thick vegetation,Lowly dissected hill,532.195474,18011.6777,53A11,4364
250,Bilaspur,76.5052,31.3498,Thick vegetation,Lowly dissected hill,223.296517,3222.911998,53A11,4365
